Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Feb 5, 2016",7:00p,Indiana Pacers,96,Atlanta Hawks,102,Box Score,,17225,
"Fri, Feb 5, 2016",7:00p,Miami Heat,98,Charlotte Hornets,95,Box Score,,19147,
"Fri, Feb 5, 2016",7:00p,Los Angeles Clippers,107,Orlando Magic,93,Box Score,,16647,
"Fri, Feb 5, 2016",7:00p,Philadelphia 76ers,94,Washington Wizards,106,Box Score,,17305,
"Fri, Feb 5, 2016",7:30p,Sacramento Kings,119,Brooklyn Nets,128,Box Score,,14432,
"Fri, Feb 5, 2016",7:30p,Boston Celtics,104,Cleveland Cavaliers,103,Box Score,,20562,
"Fri, Feb 5, 2016",7:30p,Memphis Grizzlies,91,New York Knicks,85,Box Score,,19812,
"Fri, Feb 5, 2016",9:00p,Chicago Bulls,110,Denver Nuggets,115,Box Score,,19155,
"Fri, Feb 5, 2016",9:00p,Milwaukee Bucks,81,Utah Jazz,84,Box Score,,19911,
"Fri, Feb 5, 2016",9:30p,San Antonio Spurs,116,Dallas Mavericks,90,Box Score,,20404,
"Sat, Feb 6, 2016",5:00p,Portland Trail Blazers,96,Houston Rockets,79,Box Score,,18308,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Feb 6, 2016",7:00p,Washington Wizards,104,Charlotte Hornets,108,Box Score,,18450,
"Sat, Feb 6, 2016",7:00p,Detroit Pistons,104,Indiana Pacers,112,Box Score,,18165,
"Sat, Feb 6, 2016",7:30p,New Orleans Pelicans,84,Cleveland Cavaliers,99,Box Score,,20562,
"Sat, Feb 6, 2016",7:30p,Brooklyn Nets,98,Philadelphia 76ers,103,Box Score,,18847,
"Sat, Feb 6, 2016",8:00p,Dallas Mavericks,114,Memphis Grizzlies,110,Box Score,OT,18119,
"Sat, Feb 6, 2016",8:00p,Chicago Bulls,105,Minnesota Timberwolves,112,Box Score,,17876,
"Sat, Feb 6, 2016",8:30p,Los Angeles Lakers,102,San Antonio Spurs,106,Box Score,,18418,
"Sat, Feb 6, 2016",9:00p,Oklahoma City Thunder,108,Golden State Warriors,116,Box Score,,19596,
"Sat, Feb 6, 2016",9:00p,Utah Jazz,98,Phoenix Suns,89,Box Score,,16180,
"Sun, Feb 7, 2016",1:00p,Sacramento Kings,119,Boston Celtics,128,Box Score,,18624,
"Sun, Feb 7, 2016",1:00p,Denver Nuggets,101,New York Knicks,96,Box Score,,19812,
"Sun, Feb 7, 2016",1:00p,Atlanta Hawks,94,Orlando Magic,96,Box Score,,16021,
"Sun, Feb 7, 2016",2:00p,Los Angeles Clippers,100,Miami Heat,93,Box Score,,19624,
"Mon, Feb 8, 2016",7:00p,Chicago Bulls,91,Charlotte Hornets,108,Box Score,,15886,
"Mon, Feb 8, 2016",7:00p,Sacramento Kings,100,Cleveland Cavaliers,120,Box Score,,20562,
"Mon, Feb 8, 2016",7:00p,Los Angeles Lakers,87,Indiana Pacers,89,Box Score,,18165,
"Mon, Feb 8, 2016",7:00p,Los Angeles Clippers,98,Philadelphia 76ers,92,Box Score,OT,13310,
"Mon, Feb 8, 2016",7:30p,Denver Nuggets,104,Brooklyn Nets,105,Box Score,,13043,
"Mon, Feb 8, 2016",7:30p,Toronto Raptors,103,Detroit Pistons,89,Box Score,,14103,
"Mon, Feb 8, 2016",8:00p,Orlando Magic,117,Atlanta Hawks,110,Box Score,OT,13057,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Feb 8, 2016",8:00p,Portland Trail Blazers,112,Memphis Grizzlies,106,Box Score,OT,15892,
"Mon, Feb 8, 2016",8:00p,New Orleans Pelicans,116,Minnesota Timberwolves,102,Box Score,,11926,
"Mon, Feb 8, 2016",9:00p,Oklahoma City Thunder,122,Phoenix Suns,106,Box Score,,16316,
"Tue, Feb 9, 2016",8:00p,San Antonio Spurs,119,Miami Heat,101,Box Score,,19723,
"Tue, Feb 9, 2016",8:00p,Boston Celtics,111,Milwaukee Bucks,112,Box Score,,13215,
"Tue, Feb 9, 2016",8:00p,Washington Wizards,111,New York Knicks,108,Box Score,,19812,
"Tue, Feb 9, 2016",8:30p,Utah Jazz,121,Dallas Mavericks,119,Box Score,OT,19394,
"Tue, Feb 9, 2016",10:30p,Houston Rockets,110,Golden State Warriors,123,Box Score,,19596,
"Wed, Feb 10, 2016",7:00p,Charlotte Hornets,117,Indiana Pacers,95,Box Score,,15653,
"Wed, Feb 10, 2016",7:00p,San Antonio Spurs,98,Orlando Magic,96,Box Score,,17467,
"Wed, Feb 10, 2016",7:00p,Sacramento Kings,114,Philadelphia 76ers,110,Box Score,,12501,
"Wed, Feb 10, 2016",7:30p,Los Angeles Clippers,134,Boston Celtics,139,Box Score,OT,18186,
"Wed, Feb 10, 2016",7:30p,Memphis Grizzlies,109,Brooklyn Nets,90,Box Score,,14262,
"Wed, Feb 10, 2016",7:30p,Denver Nuggets,103,Detroit Pistons,92,Box Score,,19971,
"Wed, Feb 10, 2016",8:00p,Atlanta Hawks,113,Chicago Bulls,90,Box Score,,21709,
"Wed, Feb 10, 2016",8:00p,Los Angeles Lakers,111,Cleveland Cavaliers,120,Box Score,,20562,
"Wed, Feb 10, 2016",8:00p,Toronto Raptors,112,Minnesota Timberwolves,117,Box Score,,11171,
"Wed, Feb 10, 2016",8:00p,Utah Jazz,96,New Orleans Pelicans,100,Box Score,,15256,
"Wed, Feb 10, 2016",9:00p,Golden State Warriors,112,Phoenix Suns,104,Box Score,,18055,
"Wed, Feb 10, 2016",10:30p,Houston Rockets,103,Portland Trail Blazers,116,Box Score,,19393,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Feb 11, 2016",8:00p,Washington Wizards,92,Milwaukee Bucks,99,Box Score,,14172,
"Thu, Feb 11, 2016",8:00p,New Orleans Pelicans,95,Oklahoma City Thunder,121,Box Score,,18203,
"Thu, Feb 18, 2016",7:00p,Utah Jazz,89,Washington Wizards,103,Box Score,,12415,
"Thu, Feb 18, 2016",8:00p,Chicago Bulls,95,Cleveland Cavaliers,106,Box Score,,20562,
"Thu, Feb 18, 2016",10:30p,San Antonio Spurs,86,Los Angeles Clippers,105,Box Score,,19410,
"Fri, Feb 19, 2016",7:00p,Dallas Mavericks,104,Orlando Magic,110,Box Score,OT,17764,
"Fri, Feb 19, 2016",7:00p,Detroit Pistons,86,Washington Wizards,98,Box Score,,20356,
"Fri, Feb 19, 2016",7:30p,New York Knicks,98,Brooklyn Nets,109,Box Score,,17732,
"Fri, Feb 19, 2016",8:00p,Miami Heat,115,Atlanta Hawks,111,Box Score,,19043,
"Fri, Feb 19, 2016",8:00p,Toronto Raptors,106,Chicago Bulls,116,Box Score,,21849,
"Fri, Feb 19, 2016",8:00p,Minnesota Timberwolves,104,Memphis Grizzlies,109,Box Score,,18119,
"Fri, Feb 19, 2016",8:00p,Charlotte Hornets,98,Milwaukee Bucks,95,Box Score,,16370,
"Fri, Feb 19, 2016",8:00p,Philadelphia 76ers,114,New Orleans Pelicans,121,Box Score,,16953,
"Fri, Feb 19, 2016",8:00p,Indiana Pacers,101,Oklahoma City Thunder,98,Box Score,,18203,
"Fri, Feb 19, 2016",9:30p,Houston Rockets,116,Phoenix Suns,100,Box Score,,17102,
"Fri, Feb 19, 2016",10:00p,Golden State Warriors,105,Portland Trail Blazers,137,Box Score,,20100,
"Fri, Feb 19, 2016",10:00p,Denver Nuggets,110,Sacramento Kings,116,Box Score,,17317,
"Fri, Feb 19, 2016",10:30p,San Antonio Spurs,119,Los Angeles Lakers,113,Box Score,,18997,
"Fri, Feb 19, 2016",10:30p,Boston Celtics,93,Utah Jazz,111,Box Score,,19911,
"Sat, Feb 20, 2016",7:30p,Milwaukee Bucks,117,Atlanta Hawks,109,Box Score,2OT,18653,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Feb 20, 2016",7:30p,Washington Wizards,94,Miami Heat,114,Box Score,,19710,
"Sat, Feb 20, 2016",8:00p,New York Knicks,103,Minnesota Timberwolves,95,Box Score,,16663,
"Sat, Feb 20, 2016",8:30p,Golden State Warriors,115,Los Angeles Clippers,112,Box Score,,19585,
"Sun, Feb 21, 2016",3:30p,New Orleans Pelicans,111,Detroit Pistons,106,Box Score,,17886,
"Sun, Feb 21, 2016",3:30p,Cleveland Cavaliers,115,Oklahoma City Thunder,92,Box Score,,18203,
"Sun, Feb 21, 2016",5:00p,Boston Celtics,121,Denver Nuggets,101,Box Score,,16065,
"Sun, Feb 21, 2016",5:00p,San Antonio Spurs,118,Phoenix Suns,111,Box Score,,16224,
"Sun, Feb 21, 2016",6:00p,Charlotte Hornets,104,Brooklyn Nets,96,Box Score,,16155,
"Sun, Feb 21, 2016",6:00p,Indiana Pacers,105,Orlando Magic,102,Box Score,,17242,
"Sun, Feb 21, 2016",6:00p,Memphis Grizzlies,85,Toronto Raptors,98,Box Score,,19800,
"Sun, Feb 21, 2016",7:00p,Philadelphia 76ers,103,Dallas Mavericks,129,Box Score,,20194,
"Sun, Feb 21, 2016",8:00p,Los Angeles Lakers,115,Chicago Bulls,126,Box Score,,23143,
