Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Thu, Mar 14, 2019",7:00p,Oklahoma City Thunder,106,Indiana Pacers,108,Box Score,,16656,
"Thu, Mar 14, 2019",7:00p,Cleveland Cavaliers,91,Orlando Magic,120,Box Score,,18091,
"Thu, Mar 14, 2019",7:30p,Sacramento Kings,120,Boston Celtics,126,Box Score,,18624,
"Thu, Mar 14, 2019",8:00p,Los Angeles Lakers,98,Toronto Raptors,111,Box Score,,19962,
"Thu, Mar 14, 2019",9:00p,Minnesota Timberwolves,100,Utah Jazz,120,Box Score,,18306,
"Thu, Mar 14, 2019",10:30p,Dallas Mavericks,99,Denver Nuggets,100,Box Score,,19520,
"Fri, Mar 15, 2019",7:00p,Los Angeles Lakers,97,Detroit Pistons,111,Box Score,,20768,
"Fri, Mar 15, 2019",7:00p,Sacramento Kings,114,Philadelphia 76ers,123,Box Score,,20704,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Mar 15, 2019",7:00p,Charlotte Hornets,116,Washington Wizards,110,Box Score,,19520,
"Fri, Mar 15, 2019",8:00p,Phoenix Suns,102,Houston Rockets,108,Box Score,,18055,
"Fri, Mar 15, 2019",8:00p,Milwaukee Bucks,113,Miami Heat,98,Box Score,,19600,
"Fri, Mar 15, 2019",8:00p,Portland Trail Blazers,122,New Orleans Pelicans,110,Box Score,,16117,
"Fri, Mar 15, 2019",8:30p,New York Knicks,83,San Antonio Spurs,109,Box Score,,18354,
"Fri, Mar 15, 2019",10:30p,Chicago Bulls,121,Los Angeles Clippers,128,Box Score,,17404,
"Sat, Mar 16, 2019",12:30p,Atlanta Hawks,120,Boston Celtics,129,Box Score,,18624,
"Sat, Mar 16, 2019",7:00p,Phoenix Suns,138,New Orleans Pelicans,136,Box Score,OT,17641,
"Sat, Mar 16, 2019",7:00p,Memphis Grizzlies,128,Washington Wizards,135,Box Score,,19750,
"Sat, Mar 16, 2019",8:30p,Cleveland Cavaliers,116,Dallas Mavericks,121,Box Score,,20347,
"Sat, Mar 16, 2019",8:30p,Golden State Warriors,110,Oklahoma City Thunder,88,Box Score,,18203,
"Sat, Mar 16, 2019",8:30p,Portland Trail Blazers,103,San Antonio Spurs,108,Box Score,,18354,
"Sat, Mar 16, 2019",9:00p,Indiana Pacers,100,Denver Nuggets,102,Box Score,,19856,
"Sat, Mar 16, 2019",9:00p,Brooklyn Nets,98,Utah Jazz,114,Box Score,,18306,
"Sun, Mar 17, 2019",12:00p,Los Angeles Lakers,123,New York Knicks,124,Box Score,,19812,
"Sun, Mar 17, 2019",1:00p,Charlotte Hornets,75,Miami Heat,93,Box Score,,19600,
"Sun, Mar 17, 2019",3:30p,Philadelphia 76ers,130,Milwaukee Bucks,125,Box Score,,18148,
"Sun, Mar 17, 2019",4:00p,Toronto Raptors,107,Detroit Pistons,110,Box Score,,19277,
"Sun, Mar 17, 2019",6:00p,Atlanta Hawks,91,Orlando Magic,101,Box Score,,18045,
"Sun, Mar 17, 2019",6:00p,Chicago Bulls,102,Sacramento Kings,129,Box Score,,17583,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Mar 17, 2019",9:00p,Minnesota Timberwolves,102,Houston Rockets,117,Box Score,,18055,
"Sun, Mar 17, 2019",9:00p,Brooklyn Nets,116,Los Angeles Clippers,119,Box Score,,17247,
"Mon, Mar 18, 2019",7:00p,Detroit Pistons,119,Cleveland Cavaliers,126,Box Score,,18465,
"Mon, Mar 18, 2019",7:00p,Utah Jazz,116,Washington Wizards,95,Box Score,,15637,
"Mon, Mar 18, 2019",7:30p,Denver Nuggets,114,Boston Celtics,105,Box Score,,18624,
"Mon, Mar 18, 2019",7:30p,New York Knicks,92,Toronto Raptors,128,Box Score,,19800,
"Mon, Mar 18, 2019",8:00p,Miami Heat,116,Oklahoma City Thunder,107,Box Score,,18203,
"Mon, Mar 18, 2019",8:00p,Golden State Warriors,105,San Antonio Spurs,111,Box Score,,18354,
"Mon, Mar 18, 2019",8:30p,New Orleans Pelicans,129,Dallas Mavericks,125,Box Score,OT,20276,
"Mon, Mar 18, 2019",10:00p,Chicago Bulls,116,Phoenix Suns,101,Box Score,,15879,
"Mon, Mar 18, 2019",10:30p,Indiana Pacers,98,Portland Trail Blazers,106,Box Score,,19393,
"Tue, Mar 19, 2019",7:00p,Philadelphia 76ers,118,Charlotte Hornets,114,Box Score,,16411,
"Tue, Mar 19, 2019",7:30p,Houston Rockets,121,Atlanta Hawks,105,Box Score,,16293,
"Tue, Mar 19, 2019",8:00p,Los Angeles Lakers,101,Milwaukee Bucks,115,Box Score,,17879,
"Tue, Mar 19, 2019",8:00p,Golden State Warriors,117,Minnesota Timberwolves,107,Box Score,,17964,
"Tue, Mar 19, 2019",10:00p,Brooklyn Nets,123,Sacramento Kings,121,Box Score,,17583,
"Tue, Mar 19, 2019",10:30p,Indiana Pacers,109,Los Angeles Clippers,115,Box Score,,16043,
"Wed, Mar 20, 2019",7:00p,Milwaukee Bucks,102,Cleveland Cavaliers,107,Box Score,,19432,
"Wed, Mar 20, 2019",7:00p,New Orleans Pelicans,96,Orlando Magic,119,Box Score,,17005,
"Wed, Mar 20, 2019",7:00p,Boston Celtics,115,Philadelphia 76ers,118,Box Score,,20606,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Mar 20, 2019",7:30p,Utah Jazz,137,New York Knicks,116,Box Score,,18530,
"Wed, Mar 20, 2019",8:00p,Washington Wizards,120,Chicago Bulls,126,Box Score,OT,19470,
"Wed, Mar 20, 2019",8:00p,Houston Rockets,125,Memphis Grizzlies,126,Box Score,OT,16691,
"Wed, Mar 20, 2019",8:30p,Miami Heat,110,San Antonio Spurs,105,Box Score,,18354,
"Wed, Mar 20, 2019",9:30p,Toronto Raptors,123,Oklahoma City Thunder,114,Box Score,OT,18203,
"Wed, Mar 20, 2019",10:00p,Dallas Mavericks,118,Portland Trail Blazers,126,Box Score,,19803,
"Thu, Mar 21, 2019",7:00p,Minnesota Timberwolves,106,Charlotte Hornets,113,Box Score,,15576,
"Thu, Mar 21, 2019",7:00p,Denver Nuggets,113,Washington Wizards,108,Box Score,,15986,
"Thu, Mar 21, 2019",7:30p,Utah Jazz,114,Atlanta Hawks,117,Box Score,,15569,
"Thu, Mar 21, 2019",10:00p,Detroit Pistons,118,Phoenix Suns,98,Box Score,,16066,
"Thu, Mar 21, 2019",10:00p,Dallas Mavericks,100,Sacramento Kings,116,Box Score,,17583,
"Thu, Mar 21, 2019",10:30p,Indiana Pacers,89,Golden State Warriors,112,Box Score,,19596,
"Fri, Mar 22, 2019",7:00p,Memphis Grizzlies,119,Orlando Magic,123,Box Score,OT,18025,
"Fri, Mar 22, 2019",7:30p,Los Angeles Clippers,110,Cleveland Cavaliers,108,Box Score,,19432,
"Fri, Mar 22, 2019",7:30p,Denver Nuggets,111,New York Knicks,93,Box Score,,19290,
"Fri, Mar 22, 2019",7:30p,Oklahoma City Thunder,116,Toronto Raptors,109,Box Score,,20014,
"Fri, Mar 22, 2019",8:00p,San Antonio Spurs,105,Houston Rockets,111,Box Score,,18055,
"Fri, Mar 22, 2019",8:30p,Miami Heat,87,Milwaukee Bucks,116,Box Score,,18094,
"Fri, Mar 22, 2019",10:30p,Brooklyn Nets,111,Los Angeles Lakers,106,Box Score,,18997,
"Sat, Mar 23, 2019",6:00p,Boston Celtics,117,Charlotte Hornets,124,Box Score,,19438,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Mar 23, 2019",7:00p,Miami Heat,113,Washington Wizards,108,Box Score,,20409,
"Sat, Mar 23, 2019",7:30p,Philadelphia 76ers,127,Atlanta Hawks,129,Box Score,,16640,
"Sat, Mar 23, 2019",8:00p,Utah Jazz,114,Chicago Bulls,83,Box Score,,20506,
"Sat, Mar 23, 2019",8:00p,Minnesota Timberwolves,112,Memphis Grizzlies,99,Box Score,,16977,
"Sat, Mar 23, 2019",8:30p,Dallas Mavericks,126,Golden State Warriors,91,Box Score,,19596,
"Sat, Mar 23, 2019",10:00p,Detroit Pistons,112,Portland Trail Blazers,117,Box Score,,19815,
"Sat, Mar 23, 2019",10:00p,Phoenix Suns,103,Sacramento Kings,112,Box Score,,17583,
"Sun, Mar 24, 2019",12:00p,Los Angeles Clippers,124,New York Knicks,113,Box Score,,18263,
"Sun, Mar 24, 2019",4:30p,Cleveland Cavaliers,105,Milwaukee Bucks,127,Box Score,,17930,
"Sun, Mar 24, 2019",5:00p,Denver Nuggets,88,Indiana Pacers,124,Box Score,,17923,
"Sun, Mar 24, 2019",6:00p,Charlotte Hornets,115,Toronto Raptors,114,Box Score,,19800,
"Sun, Mar 24, 2019",7:00p,Houston Rockets,113,New Orleans Pelicans,90,Box Score,,17048,
"Sun, Mar 24, 2019",7:30p,San Antonio Spurs,115,Boston Celtics,96,Box Score,,18624,
"Sun, Mar 24, 2019",8:30p,Detroit Pistons,114,Golden State Warriors,121,Box Score,,19596,
"Sun, Mar 24, 2019",9:30p,Sacramento Kings,106,Los Angeles Lakers,111,Box Score,,18997,
"Mon, Mar 25, 2019",7:00p,Philadelphia 76ers,98,Orlando Magic,119,Box Score,,16848,
"Mon, Mar 25, 2019",8:00p,Oklahoma City Thunder,103,Memphis Grizzlies,115,Box Score,,15144,
"Mon, Mar 25, 2019",9:00p,Phoenix Suns,92,Utah Jazz,125,Box Score,,18306,
"Mon, Mar 25, 2019",10:00p,Brooklyn Nets,144,Portland Trail Blazers,148,Box Score,2OT,20188,
"Tue, Mar 26, 2019",7:00p,San Antonio Spurs,116,Charlotte Hornets,125,Box Score,OT,14227,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Mar 26, 2019",7:00p,Boston Celtics,116,Cleveland Cavaliers,106,Box Score,,19432,
"Tue, Mar 26, 2019",7:30p,Orlando Magic,104,Miami Heat,99,Box Score,,19704,
"Tue, Mar 26, 2019",7:30p,Chicago Bulls,103,Toronto Raptors,112,Box Score,,19800,
"Tue, Mar 26, 2019",8:00p,Houston Rockets,94,Milwaukee Bucks,108,Box Score,,17910,
"Tue, Mar 26, 2019",8:00p,Los Angeles Clippers,122,Minnesota Timberwolves,111,Box Score,,13176,
"Tue, Mar 26, 2019",8:00p,Atlanta Hawks,130,New Orleans Pelicans,120,Box Score,,14751,
"Tue, Mar 26, 2019",8:30p,Sacramento Kings,125,Dallas Mavericks,121,Box Score,,20168,
"Tue, Mar 26, 2019",9:00p,Detroit Pistons,92,Denver Nuggets,95,Box Score,,19520,
"Tue, Mar 26, 2019",10:30p,Washington Wizards,106,Los Angeles Lakers,124,Box Score,,18997,
"Wed, Mar 27, 2019",8:00p,Portland Trail Blazers,118,Chicago Bulls,98,Box Score,,20227,
"Wed, Mar 27, 2019",8:00p,Golden State Warriors,118,Memphis Grizzlies,103,Box Score,,17794,
"Wed, Mar 27, 2019",8:00p,Indiana Pacers,99,Oklahoma City Thunder,107,Box Score,,18203,
