Date,Close
2019/07/31,1866.780029
2019/08/01,1855.319946
2019/08/02,1823.23999
2019/08/05,1765.130005
2019/08/06,1787.829956
2019/08/07,1793.400024
2019/08/08,1832.890015
2019/08/09,1807.579956
2019/08/12,1784.920044
2019/08/13,1824.339966
2019/08/14,1762.959961
2019/08/15,1776.119995
2019/08/16,1792.569946
2019/08/19,1816.119995
2019/08/20,1801.380005
2019/08/21,1823.540039
2019/08/22,1804.660034
2019/08/23,1749.619995
2019/08/26,1768.869995
2019/08/27,1761.829956
2019/08/28,1764.25
2019/08/29,1786.400024
2019/08/30,1776.290039
2019/09/03,1789.839966
2019/09/04,1800.619995
2019/09/05,1840.719971
2019/09/06,1833.51001
2019/09/09,1831.349976
2019/09/10,1820.550049
2019/09/11,1822.98999
2019/09/12,1843.550049
2019/09/13,1839.339966
2019/09/16,1807.839966
2019/09/17,1822.550049
2019/09/18,1817.459961
2019/09/19,1821.5
2019/09/20,1794.160034
2019/09/23,1785.300049
2019/09/24,1741.609985
2019/09/25,1768.329956
2019/09/26,1739.839966
2019/09/27,1725.449951
2019/09/30,1735.910034
2019/10/01,1735.650024
2019/10/02,1713.22998
2019/10/03,1724.420044
2019/10/04,1739.650024
2019/10/07,1732.660034
2019/10/08,1705.51001
2019/10/09,1721.98999
2019/10/10,1720.26001
2019/10/11,1731.920044
2019/10/14,1736.430054
2019/10/15,1767.380005
2019/10/16,1777.430054
2019/10/17,1787.47998
2019/10/18,1757.51001
2019/10/21,1785.660034
2019/10/22,1765.72998
2019/10/23,1762.170044
2019/10/24,1780.780029
2019/10/25,1761.329956
2019/10/28,1777.079956
2019/10/29,1762.709961
2019/10/30,1779.98999
2019/10/31,1776.660034
2019/11/01,1791.439941
2019/11/04,1804.660034
2019/11/05,1801.709961
2019/11/06,1795.77002
2019/11/07,1788.199951
2019/11/08,1785.880005
2019/11/11,1771.650024
2019/11/12,1778
2019/11/13,1753.109985
2019/11/14,1754.599976
2019/11/15,1739.48999
2019/11/18,1752.530029
2019/11/19,1752.790039
2019/11/20,1745.530029
2019/11/21,1734.709961
2019/11/22,1745.72
2019/11/23,
2019/11/24,
2019/11/25,
2019/11/26,
2019/11/27,
2019/11/28,
2019/11/29,
2019/11/30,
2019/12/01,
2019/12/02,
2019/12/03,
